ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
18,Indian Wells,Pacific Life Open,16/03/04,Masters,Outdoor,Hard,3rd Round,3,Agassi A.,Hrbaty D.,5,33,6,2,6,4,,,,,,,2,0,Completed,1.25,3.75,1.32,3.5,1.25,3.7,1.25,3,1.323,3.65
18,Indian Wells,Pacific Life Open,16/03/04,Masters,Outdoor,Hard,3rd Round,3,Dent T.,Lapentti N.,43,62,6,3,6,2,,,,,,,2,0,Completed,1.533,2.375,1.5,2.55,1.55,2.35,1.5,2.1,1.578,2.53
18,Indian Wells,Pacific Life Open,16/03/04,Masters,Outdoor,Hard,3rd Round,3,Labadze I.,Arazi H.,90,44,6,3,6,4,,,,,,,2,0,Completed,2.75,1.4,2.85,1.45,2.8,1.4,2.5,1.35,2.95,1.455
18,Indian Wells,Pacific Life Open,16/03/04,Masters,Outdoor,Hard,4th Round,3,Chela J.I.,Haas T.,34,882,6,4,6,2,,,,,,,2,0,Completed,1.833,1.833,1.85,2,1.8,1.95,1.6,1.9,1.909,1.943
18,Indian Wells,Pacific Life Open,16/03/04,Masters,Outdoor,Hard,4th Round,3,Federer R.,Fish M.,1,19,6,4,6,1,,,,,,,2,0,Completed,1.143,5,1.17,5.25,1.15,5.2,1.15,3.8,1.155,6.05
18,Indian Wells,Pacific Life Open,17/03/04,Masters,Outdoor,Hard,4th Round,3,Coria G.,Grosjean S.,4,14,3,6,7,6,6,2,,,,,2,1,Completed,1.727,2,1.67,2.25,1.7,2.1,1.55,2,1.758,2.16
18,Indian Wells,Pacific Life Open,17/03/04,Masters,Outdoor,Hard,4th Round,3,Agassi A.,Youzhny M.,5,51,7,5,6,2,,,,,,,2,0,Completed,1.143,5,1.15,5.75,1.15,5.2,1.15,3.8,1.156,5.9
18,Indian Wells,Pacific Life Open,17/03/04,Masters,Outdoor,Hard,4th Round,3,Labadze I.,Calleri A.,90,23,1,6,6,3,6,4,,,,,2,1,Completed,2.625,1.444,2.7,1.48,2.45,1.5,2.2,1.45,2.66,1.543
18,Indian Wells,Pacific Life Open,17/03/04,Masters,Outdoor,Hard,4th Round,3,Blake J.,Dent T.,39,43,7,6,4,6,6,1,,,,,2,1,Completed,1.667,2.1,1.85,2,1.81,1.97,1.7,1.8,1.952,1.901
18,Indian Wells,Pacific Life Open,18/03/04,Masters,Outdoor,Hard,4th Round,3,Henman T.,Arthurs W.,10,128,6,1,6,3,,,,,,,2,0,Completed,1.222,4,1.3,3.65,1.3,3.35,1.3,2.7,1.278,4.1
18,Indian Wells,Pacific Life Open,18/03/04,Masters,Outdoor,Hard,4th Round,3,Roddick A.,Escude N.,3,77,6,3,6,2,,,,,,,2,0,Completed,1.2,4.333,1.3,3.6,1.3,3.35,1.3,2.7,1.261,4.33
18,Indian Wells,Pacific Life Open,18/03/04,Masters,Outdoor,Hard,Quarterfinals,3,Federer R.,Chela J.I.,1,34,6,2,6,1,,,,,,,2,0,Completed,1.111,6,1.13,6.4,1.08,7.25,1.1,4.5,1.133,7
18,Indian Wells,Pacific Life Open,19/03/04,Masters,Outdoor,Hard,Quarterfinals,3,Agassi A.,Coria G.,5,4,6,4,7,5,,,,,,,2,0,Completed,1.333,3.25,1.38,3.15,1.4,2.75,1.25,3,1.426,3.05
18,Indian Wells,Pacific Life Open,19/03/04,Masters,Outdoor,Hard,Quarterfinals,3,Henman T.,Roddick A.,10,3,6,7,7,6,6,3,,,,,2,1,Completed,2.75,1.4,3.05,1.4,2.92,1.37,2.5,1.4,3.22,1.408
18,Indian Wells,Pacific Life Open,20/03/04,Masters,Outdoor,Hard,Quarterfinals,3,Labadze I.,Blake J.,90,39,6,7,6,4,6,1,,,,,2,1,Completed,2.75,1.4,3.15,1.38,3.01,1.35,2.5,1.4,3.05,1.444
18,Indian Wells,Pacific Life Open,20/03/04,Masters,Outdoor,Hard,Semifinals,3,Federer R.,Agassi A.,1,5,4,6,6,3,6,4,,,,,2,1,Completed,1.4,2.75,1.4,3.05,1.38,3.07,1.4,2.5,1.426,3.15
18,Indian Wells,Pacific Life Open,20/03/04,Masters,Outdoor,Hard,Semifinals,3,Henman T.,Labadze I.,10,90,6,3,6,2,,,,,,,2,0,Completed,1.16,4.5,1.2,4.75,1.24,4.05,1.2,3.6,1.196,5.25
18,Indian Wells,Pacific Life Open,21/03/04,Masters,Outdoor,Hard,The Final,3,Federer R.,Henman T.,1,10,6,3,6,3,,,,,,,2,0,Completed,1.44,2.75,1.45,2.85,1.4,2.85,1.45,2.35,1.441,2.97
